opportunity_id,original_sheet_name,original_row_number,company_id,company_name,program_name,program_type,city,region,work_mode,duration,compensation,application_method,application_window,open_window_type,degree_tags,eligible_majors,role_clusters,technical_skills,skills_list,tools_list,requirements,eligibility_summary,required_documents,interview_required,interview_mode,interview_stages,source_url,source_domain,source_type,verified_opportunity,verified_coopintern,verification_level,evidence_summary,last_verified_date,data_quality_notes,AI_Fit,CS_Fit,CYS_Fit,CIS_Fit,Data_Eng_Fit,Computer_Eng_Fit,Fintech_Fit,Data_Science_Fit,AI_Fit_Num,CS_Fit_Num,CYS_Fit_Num,CIS_Fit_Num,Data_Eng_Fit_Num,Computer_Eng_Fit_Num,Fintech_Fit_Num,Data_Science_Fit_Num,inferred_role_cluster,inferred_interests,inferred_skills,required_skills,preferred_skills
1,Companies,2,1,Saudi Aramco,University Internship Program (UIP),COOP,Dhahran,Not stated,In person,≥ 8 weeks,Monthly stipend; housing/transport/medical (benefits listed on UIP page),Apply via Aramco careers portal,Registration 30 Mar 2026 08:00–6 Apr 2026 15:00 (KSA time),Fixed dates (observed 2026-03-10),AI;CIS;CS;CYS,AI;CIS;CS;CYS,Cybersecurity;Software Engineering,Role-dependent (varies by department).,problem solving; decision making; presentation; report writing,Not stated,Eligibility and documents stated on UIP page (university-required training + GPA thresholds; transcript + university letter).,Students needing university-required practical training; GPA thresholds vary by specialization; must not be graduated; no concurrent classes.,Saudi National ID; most recent official transcript; university letter stating purpose & duration of internship.,No,Not stated,Interview not explicitly stated on UIP overview; selection involves eligibility checks and onboarding steps.,https://www.aramco.com/en/careers/saudi-applicants/non-employee-programs/university-and-vocational-college-internship-programs/university-internship-program,aramco.com,High,Yes,Yes,Company Official,Company careers page explicitly describes University Internship Program. | Registration 30 Mar 2026–6 Apr 2026; orientation 14 Jun 2026; start-up 15 Jun 2026 (Aramco UIP page).,46091,Interview not stated on UIP page → Interview=No to avoid guessing. | Pass24: canonical role family/subfamily + skills/tools extraction + eligibility/seniority normalization + cert suggestions from Role_Certs. | Pass25: normalized Skills/Tools; filled certs via Role_Certs mapping (where applicable); extraction from Requirements/Technical_Skills. Pass26: skills normalized/deduped.,High,High,Medium,High,High,High,Low,High,2,2,1,2,2,2,0,2,,,,,
2,Companies,3,1,SABIC,COOP Training Program,COOP,Not stated,Not stated,In person,Not stated,Not stated,Apply via SABIC careers site,Not stated (registration periods vary),Registration periods (dates not stated; observed 2026-03-10),AI;CIS;CS;CYS,AI;CIS;CS;CYS,Not stated,Varies by placement.,Not stated,Not stated,University nomination/letter; transcript showing GPA; CV/Resume (typical).,Last-year students; COOP required for graduation; university nomination; minimum GPA; medically fit; not graduated.,University nomination/letter; transcript showing GPA; CV/Resume (typical).,No,Not stated,Not stated on overview page.,https://www.sabic.com/careers/middle-east-africa/students-and-fresh-graduates,sabic.com,High,Yes,Yes,Company Official,Company page for Students & Fresh Graduates includes COOP program. | Coop applications via Careers page during registration periods; Tamheer opportunities via HRDF TAQAT (SABIC page).,46091,Interview steps not stated on overview page → Interview=No. | Pass24: canonical role family/subfamily + skills/tools extraction + eligibility/seniority normalization + cert suggestions from Role_Certs. | Pass25: normalized Skills/Tools; filled certs via Role_Certs mapping (where applicable); extraction from Requirements/Technical_Skills. | Pass25: Canonical role set to 'General Program' (posting/program did not specify a concrete role track).,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,1,1,1,,,,,
3,Companies,4,1,stc (Saudi Telecom Company),Cooperative Training Program (COOP),COOP,Riyadh,Riyadh Region,In person,Not stated,Not stated,Apply via stc careers portal,Not stated,Batch-based (recruitment not started; observed 2026-03-10),AI;CIS;CS;CYS,AI;CIS;CS;CYS,Cybersecurity;DevOps;Software Engineering,Not stated,communication; teamwork; problem solving; time management; English proficiency,Not stated,"Not fully listed on overview page (typical: CV, transcript, university letter).",Saudi nationals; students in in‑Kingdom universities; COOP required for graduation; GPA threshold; English proficiency; ability to train in Riyadh (per program page).,"Not fully listed on overview page (typical: CV, transcript, university letter).",No,Not stated,Not stated.,https://careers.stc.com.sa/content/COOP/?locale=en_US,careers.stc.com.sa,High,Yes,Yes,Company Official,stc careers page explicitly for COOP program. | Page says candidates will be contacted once recruitment for upcoming batch starts (stc COOP page).,46091,Interview not stated → Interview=No. | Pass24: canonical role family/subfamily + skills/tools extraction + eligibility/seniority normalization + cert suggestions from Role_Certs. | Pass25: normalized Skills/Tools; filled certs via Role_Certs mapping (where applicable); extraction from Requirements/Technical_Skills. | Pass25: Canonical role set to 'General Program' (posting/program did not specify a concrete role track). Pass26: skills normalized/deduped.,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,1,1,1,Network Security,Cybersecurity; Cloud / DevOps,networking; network security; cybersecurity; linux; cloud,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment
4,Companies,5,1,Saudi National Bank (SNB),SNB Cooperative Training Program,COOP,Saudi Arabia,Saudi Arabia,In person,Not stated,Not stated,Apply via SNB careers portal (when open),Shown on page (status may be closed),Closed (observed 2026-03-10),CIS;CS;CYS;Fintech,CIS;CS;CYS;Fintech,Cybersecurity;Fintech,Not stated,Not stated,Not stated,Updated resume; National ID; university letter confirming COOP required; academic transcript showing GPA.,Saudi national; enrolled bachelor student from MoE-approved university; COOP required; GPA ≥3.75/5 or 2.75/4; pass online assessment and interview. Majors include computer/software engineering among technical majors (per page).,Updated resume; National ID; university letter confirming COOP required; academic transcript showing GPA.,Yes,In person,Passing Online Assessment and interview successfully (stated).,https://www.alahli.com/en/pages/about-us/careers/snb-cooperative-training-program,alahli.com,High,Yes,Yes,Company Official,"SNB COOP program page lists selection criteria, documents, and mentions online assessment and interview. | Program page states 'Application Closed' (official SNB page).",46091,Online assessment is mentioned; interview mode not stated; Interview_Mode set to In person (inferred). | Pass24: canonical role family/subfamily + skills/tools extraction + eligibility/seniority normalization + cert suggestions from Role_Certs. | Pass25: normalized Skills/Tools; filled certs via Role_Certs mapping (where applicable); extraction from Requirements/Technical_Skills. | Pass25: Canonical role set to 'General Program' (posting/program did not specify a concrete role track). Pass26: skills normalized/deduped.,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,1,1,1,Backend Engineering,FinTech; Software Development; Data Science; Cybersecurity,sql; python; api; cybersecurity; data analysis,python; apis; sql; git,docker; testing; cloud; rest apis
5,Companies,6,1,Al Rajhi Bank,Cooperative Training Program,COOP,Saudi Arabia,Saudi Arabia,In person,Varies (per university COOP letter dates),Not stated,Apply via Al Rajhi careers site,Not stated,Rolling (program page; observed 2026-03-10),CIS;CS;CYS;Fintech,CIS;CS;CYS;Fintech,Cybersecurity;Fintech,Not stated,Not stated,Not stated,National ID; transcript; university COOP letter (start/end dates); CV/Resume.,Bachelor/Master; minimum GPA; COOP required for graduation; passing interview (per program).,National ID; transcript; university COOP letter (start/end dates); CV/Resume.,Yes,In person,Passing interview required (stated).,https://careers.alrajhibank.com.sa/en/page/coop-program/,careers.alrajhibank.com.sa,High,Yes,Yes,Company Official,Al Rajhi careers COOP program page. | Observed apply link on careers portal (2026-03-08) | Program page lists eligibility/docs and links to apply on careers portal (Al Rajhi Bank Careers).,46091,Interview required per page; mode not stated → set In person. | Pass24: canonical role family/subfamily + skills/tools extraction + eligibility/seniority normalization + cert suggestions from Role_Certs. | Pass25: normalized Skills/Tools; filled certs via Role_Certs mapping (where applicable); extraction from Requirements/Technical_Skills. | Pass25: Canonical role set to 'General Program' (posting/program did not specify a concrete role track). Pass26: skills normalized/deduped. | Pass28: careers portal page accessible (observed 2026-03-08),Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,1,1,1,Backend Engineering,FinTech; Software Development; Data Science; Cybersecurity,sql; python; api; cybersecurity; data analysis,python; apis; sql; git,docker; testing; cloud; rest apis
6,Companies,7,1,Capital Market Authority (CMA),COOP Program,COOP,Riyadh,Riyadh Region,In person,Not stated,Not stated,Apply via CMA careers portal,Not stated,Open (Apply now; observed 2026-03-10),CIS;CS;CYS;Fintech,CIS;CS;CYS;Fintech,Cybersecurity,Not stated,Not stated,Not stated,"Not fully listed on overview page (typical: CV, transcript, university letter, ID).",Saudi national; full-time; GPA at least 'Very Good'; training approval letter.,"Not fully listed on overview page (typical: CV, transcript, university letter, ID).",No,Not stated,Not stated.,https://careers.cma.gov.sa/ar/page/coop-program/,careers.cma.gov.sa,High,Yes,Yes,Government Official,CMA careers COOP program page. | Page shows 'تقدم الآن' and last modified 24/12/2025 (CMA careers).,46091,Interview not stated → Interview=No. | Pass24: canonical role family/subfamily + skills/tools extraction + eligibility/seniority normalization + cert suggestions from Role_Certs. | Pass25: normalized Skills/Tools; filled certs via Role_Certs mapping (where applicable); extraction from Requirements/Technical_Skills. | Pass25: Canonical role set to 'General Program' (posting/program did not specify a concrete role track). Pass26: skills normalized/deduped.,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,1,1,1,Software Engineering,Software Development,python; api; sql; git,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing
7,Companies,8,1,Digital Government Authority (DGA),Maidan Cooperative Training Program,COOP,Riyadh,Riyadh Region,In person,2–6 months,Not stated,Apply via DGA career portal,Not stated,Closed (page says reopen May 2025; observed 2026-03-10),AI;CIS;CS;CYS,AI;CIS;CS;CYS,Software Engineering,Not stated,Not stated,Not stated,Academic record; CV (attachments required).,Saudi national; university student; COOP required; GPA ≥3.5/5 or 2.8/4; attach transcript and CV; English/pro certificates preferred.,Academic record; CV (attachments required).,Yes,In person,Sorting → contacted for assessment/admission procedures (stated).,https://career.dga.gov.sa/en/page/coop-program/,career.dga.gov.sa,High,Yes,Yes,Government Official,DGA careers Maidan COOP program page. | Page shows Published 09/09/2024 and states applications will reopen in May 2025 (DGA Maidan).,46091,Assessment/procedures mentioned; mode not stated → set Remote as likely first step.; Interview mode not stated on source → set to In person (inferred) for consistency. | Pass24: canonical role family/subfamily + skills/tools extraction + eligibility/seniority normalization + cert suggestions from Role_Certs. | Pass25: Canonical role set to 'General Program' (posting/program did not specify a concrete role track).,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,1,1,1,,,,,
8,Companies,9,1,KPMG Saudi Arabia,COOP & Internship Programs,COOP,Saudi Arabia,Saudi Arabia,In person,Not stated,Not stated,Apply online,Not stated,Rolling (apply link; observed 2026-03-10),AI;CIS;CS;Fintech,AI;CIS;CS;Fintech,Not stated,Not stated,English proficiency; logical reasoning; numerical reasoning; communication; resilience,Not stated,Not stated,Senior bachelor students (stated).,Not stated,Yes,In person,Meeting with talent team + online assessments (English + logical/numerical reasoning) mentioned on page.,https://kpmg.com/sa/en/careers/coop-and-internship-programs.html,kpmg.com,High,Yes,Yes,Company Official,KPMG Saudi COOP & Internship programs page (explicit). | Selection includes online assessment (English + logical/numerical reasoning) and in-house assessment/interview (KPMG page).,46091,"Online assessments mentioned → Interview=Yes, mode Remote.; Interview mode not stated on source → set to In person (inferred) for consistency. | Pass24: canonical role family/subfamily + skills/tools extraction + eligibility/seniority normalization + cert suggestions from Role_Certs. | Pass25: normalized Skills/Tools; filled certs via Role_Certs mapping (where applicable); extraction from Requirements/Technical_Skills.",Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,1,1,1,,,,,
9,Companies,10,1,PwC Middle East,"Deals, COOP and Summer Internship Programme (2026)",COOP,Riyadh,Riyadh Region,In person,COOP: 4–6 months; Summer: 6–8 weeks,Competitive pay mentioned on posting,Apply via PwC careers portal,Two intakes yearly (Jan/Aug) for COOP; summer internship Jun–Aug (per posting).,Open (Apply now; observed 2026-03-10),AI;CIS;CS;Fintech,AI;CIS;CS;Fintech,Not stated,Not stated,data analysis; accounting fundamentals; problem solving; communication; teamwork,Not stated,Not explicitly listed in excerpt; typical: CV + transcript.,COOP: final semester students; Summer: entering final year; GPA target 3.0/4; English required (see posting).,Not explicitly listed in excerpt; typical: CV + transcript.,No,Not stated,Not fully detailed on posting excerpt.,https://careers.pwc.com/job/Middle-East-Deals%2C-COOP-and-Summer-Internship-Programme-2026-Middle-East-Midd/1268227301/,careers.pwc.com,High,Yes,Yes,Company Official,PwC careers posting explicitly describes COOP (4–6 months) and Riyadh availability. | Posting date 22 Feb 2026; COOP 4–6 months; two intakes (Jan/Aug); summer internship 6–8 weeks (PwC posting).,46091,Interview steps not stated in excerpt → Interview=No. | Pass24: canonical role family/subfamily + skills/tools extraction + eligibility/seniority normalization + cert suggestions from Role_Certs. | Pass25: normalized Skills/Tools; filled certs via Role_Certs mapping (where applicable); extraction from Requirements/Technical_Skills. | Pass25: Canonical role set to 'General Program' (posting/program did not specify a concrete role track).,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,1,1,1,,,,,
10,Companies,11,1,Deloitte Middle East (KSA),Jusoor Al Sharqiyah Internship Program,Internship,Khobar,Not stated,In person,Not stated,Not stated,Apply via Deloitte careers portal,Not stated,Not stated,AI;CIS;CS,AI;CIS;CS,Not stated,Not stated,ITSM; Networking Fundamentals; troubleshooting,Linux; Windows,"Not explicitly listed; typical: CV, transcript.","Based in Eastern Province; GPA ≥3.3/4; majors include CS, software, computer engineering, data, AI (see posting).","Not explicitly listed; typical: CV, transcript.",No,Not stated,Not stated.,https://middleeastjobs.deloitte.com/careersME/PipelineDetail/Intern-Jusoor-Al-Sharqiyah-Internship-Program-Al-Khobar/243472,middleeastjobs.deloitte.com,High,Yes,Yes,Company Official,Deloitte internship posting for Al Khobar lists majors and criteria (explicit).,2026-02-23,Interview steps not stated → Interview=No. | Pass24: canonical role family/subfamily + skills/tools extraction + eligibility/seniority normalization + cert suggestions from Role_Certs. | Pass25: Canonical role set to 'General Program' (posting/program did not specify a concrete role track).,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,1,1,1,Network Security,Cybersecurity; Cloud / DevOps,networking; network security; cybersecurity; linux; cloud,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment
