profile_id,opportunity_id,chat_message,major,city,skills,interest,program_type,work_mode,company_name,program_name,opportunity_role_cluster,opportunity_required_skills,opportunity_preferred_skills,target_score,predicted_score,absolute_error
no-interview-ft,98,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,Saudi Motorsport Company (SMC),COOP Trainee (Supply Chain Excellence Associate),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,29.5,55.20907680258691,25.709076802586907
eastern-province-cys,123,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,EjadTech - إيجاد التقنية,"Summer Internship Program 2025 (Computer, Data, and AI Majors)",Software Engineering,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,31.0,53.15226226512125,22.15226226512125
ce-network-dhahran,61,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,KAUST,Visiting Student Research Program (VSRP) Internship,Machine Learning,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,30.0,50.9224482075849,20.9224482075849
cs-iau-backend,31,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Ministry of Industry and Mineral Resources (MIM) – Cooperative Training Initiative,Cooperative Training Initiative,General Computing,,,10.5,31.15589763124169,20.65589763124169
no-interview-ft,167,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,TAM | تام,"Tamheer Opportunity, Advisory",General Computing,,,41.0,21.15938719381349,19.84061280618651
cs-iau-backend,29,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Human Resources Development Fund (HRDF) – Cooperative Training Product,Cooperative Training (HRDF product),General Computing,,,10.5,29.939555235455305,19.439555235455305
eastern-province-cys,52,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,Ministry of Industry and Mineral Resources | Cooperative Training,Cooperative Training Initiative,General Computing,,,55.5,36.35214915003289,19.147850849967107
eastern-province-cys,56,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,HRDF | Cooperative Training Product,Cooperative Training Product,General Computing,,,55.5,36.35214915003289,19.147850849967107
qual-ielts-intern,167,Business-oriented CIS student with IELTS 6.5 seeking internship in Jeddah.,CIS,Jeddah,excel; sql,,Internship,On-site,TAM | تام,"Tamheer Opportunity, Advisory",General Computing,,,40.5,21.456310202378965,19.043689797621035
no-interview-ft,116,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,Lucidya,Technical Internship or Coop – Lucidya,Machine Learning,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing,43.5,62.52620458397667,19.02620458397667
eastern-province-cys,98,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,Saudi Motorsport Company (SMC),COOP Trainee (Supply Chain Excellence Associate),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,77.0,58.117617358461565,18.882382641538435
ce-network-dhahran,79,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Tabby,Intern Data Engineer,Data Engineering,python; apis; sql; git; machine learning; data analysis; etl,docker; testing; cloud; rest apis; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,39.0,57.8438751353671,18.8438751353671
ce-network-dhahran,24,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,MOZN,Data Science Intern,Data Science,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; statistics; pandas; visualization,34.5,53.24586265664952,18.74586265664952
ds-scientist-jeddah,133,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,Help AG (e& enterprise),Cybersecurity Intern,Cybersecurity,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,28.5,47.08539620790671,18.58539620790671
