profile_id,split
ai-ds-cross,train
ai-engineer-remote,train
ai-ml-riyadh,train
ce-embedded-khobar,train
ce-network-dhahran,test
cis-business-riyadh,train
cis-systems-jeddah,train
coop-explicit-cs,train
coop-internship-flex,train
cs-backend-riyadh-coop,train
cs-frontend-jeddah-intern,train
cs-fullstack-remote,train
cs-iau-backend,test
cs-software-eng-dammam,train
cys-analyst-jeddah,train
cys-ceh-riyadh,train
cys-network-dammam,train
cys-remote-intern,train
cys-soc-riyadh,train
de-cloud-dammam,test
de-etl-remote,train
de-pipelines-riyadh,train
devops-cs-cloud,train
ds-analyst-riyadh,train
ds-gpa-ielts,test
ds-remote-coop,test
ds-scientist-jeddah,test
eastern-province-cys,test
ft-banking-riyadh,train
ft-finance-remote,train
hybrid-ds-riyadh,train
in-person-cs,train
internship-explicit-ai,train
interview-okay-ai,train
interview-okay-cys,train
jeddah-ds,train
no-interview-cs,train
no-interview-ft,test
open-major-broad,train
qual-aws-azure,train
qual-ielts-intern,test
qual-powerbi-gpa,train
qual-security-certs,train
remote-only-de,test
riyadh-only-cs,train
saudi-arabia-flex,train
tamheer-cis,train
training-de,train
