profile_id,opportunity_id,company_name,program_name,chat_message,major,city,skills,interest,program_type,work_mode,target_score,predicted_score,score_difference,absolute_difference,rank_by_rubric,rank_by_ml
ce-network-dhahran,152,Schneider Electric,Co-op Intern (Engineering) - Al Khobar (Jan–Aug 2026),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,69.0,59.91387430805401,-9.086125691945988,9.086125691945988,1,28
ce-network-dhahran,11,Bank Albilad,Cooperative & Summer Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,67.0,61.36573519805561,-5.63426480194439,5.63426480194439,2,21
ce-network-dhahran,26,Yasref,Yasref Cooperative Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,65.0,56.15507279818541,-8.844927201814592,8.844927201814592,3,52
ce-network-dhahran,27,"Saudi Standards, Metrology and Quality Organization (SASO)",Cooperative Training (Collaborative Training),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,62.0,56.15507279818541,-5.844927201814592,5.844927201814592,4,53
ce-network-dhahran,72,Tatweer Educational Technologies (TETCO),Cooperative Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,62.0,63.94808110477679,1.94808110477679,1.94808110477679,5,9
ce-network-dhahran,91,REMAT ADVANCED,Cooperative Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,62.0,56.18962982392996,-5.8103701760700375,5.8103701760700375,6,50
ce-network-dhahran,112,Emdad By Elm,Network Cooperative Training (Network Intern),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,62.0,61.26136497253427,-0.7386350274657332,0.7386350274657332,7,22
ce-network-dhahran,129,WalaPlus,Coop & Tamheer Opportunities,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,62.0,56.21584987092918,-5.784150129070817,5.784150129070817,8,49
ce-network-dhahran,130,Aon,IT Co-op Trainee 2026,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,62.0,59.91387430805401,-2.0861256919459876,2.0861256919459876,9,26
ce-network-dhahran,131,Hewlett Packard Enterprise (HPE),College Intern (Coop),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,62.0,59.91387430805401,-2.0861256919459876,2.0861256919459876,10,27
ce-network-dhahran,132,Signify,KSA Coop Internship Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,62.0,56.18962982392996,-5.8103701760700375,5.8103701760700375,11,51
ce-network-dhahran,135,Golf Saudi,IT Co-op Trainee,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,62.0,61.26136497253427,-0.7386350274657332,0.7386350274657332,12,23
ce-network-dhahran,142,Saudi Tadawul Group | تداول,Cooperative Training Program (COOP),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,62.0,67.39506890346306,5.395068903463056,5.395068903463056,13,5
ce-network-dhahran,10,Deloitte Middle East (KSA),Jusoor Al Sharqiyah Internship Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,59.0,53.3381002885583,-5.6618997114416985,5.6618997114416985,14,76
ce-network-dhahran,64,Al Rajhi Takaful,Cooperative Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,56.0,61.58177421099042,5.581774210990417,5.581774210990417,15,13
ce-network-dhahran,71,OmniOps,Co‑op Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,56.0,65.0449113546036,9.044911354603599,9.044911354603599,16,8
ce-network-dhahran,85,TAWAL,COOP Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,56.0,63.94808110477679,7.94808110477679,7.94808110477679,17,10
ce-network-dhahran,107,sirar by stc,Cooperative Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,56.0,65.72221372154708,9.722213721547078,9.722213721547078,18,7
ce-network-dhahran,128,SCAI | سكاي,CO-OP Training Opportunities (Intern),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,56.0,68.18393998599593,12.183939985995934,12.183939985995934,19,3
ce-network-dhahran,19,Amazon Web Services (AWS),IT/Computer Hardware Internship (Intern-to-FTE Pathway),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,55.0,51.893701545600166,-3.106298454399834,3.106298454399834,20,90
ce-network-dhahran,54,Tawuniya | Tamheer Program (Fresh Graduates),Tamheer Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,55.0,52.21135487042796,-2.788645129572039,2.788645129572039,21,87
ce-network-dhahran,151,Motorola Solutions,Deployment Engineer Intern (KSA National - Tamheer Program),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,55.0,51.0821006615065,-3.9178993384934984,3.9178993384934984,22,97
ce-network-dhahran,60,Cisco,Cisco NetVersity (Saudi Arabia),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,54.0,53.90777626996167,-0.09222373003832729,0.09222373003832729,23,71
ce-network-dhahran,45,NEOM | GrOW (Graduates Opportunities in Work),GrOW (Graduates Opportunities in Work),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,53.5,42.03945833658925,-11.460541663410751,11.460541663410751,24,157
ce-network-dhahran,53,King Fahd Causeway Authority | Internship Program,Internship Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,53.5,46.47326045125746,-7.02673954874254,7.02673954874254,25,136
ce-network-dhahran,163,Devoteam,Trainee - Future Leaders Program (Co-op/Fresh Graduate),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,52.5,58.73024886731548,6.230248867315481,6.230248867315481,26,35
ce-network-dhahran,20,Amazon Web Services (AWS) - Associate Solutions Architect Intern,Associate Solutions Architect Intern (2026),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,52.0,51.00747222558494,-0.9925277744150591,0.9925277744150591,27,98
ce-network-dhahran,39,Saudi Food & Drug Authority (SFDA),COOP training (First semester 2025-2026 intake),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,52.0,54.45340015262728,2.4534001526272817,2.4534001526272817,28,59
ce-network-dhahran,81,Bank Albilad,Cooperative Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,52.0,61.58177421099042,9.581774210990417,9.581774210990417,29,16
ce-network-dhahran,90,NHC,COOP Trainee,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,52.0,54.45340015262728,2.4534001526272817,2.4534001526272817,30,62
ce-network-dhahran,104,Zain KSA,Zain Pioneers Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,52.0,49.03180266577183,-2.9681973342281722,2.9681973342281722,31,113
ce-network-dhahran,136,Siemens Healthineers,Healthineers Early Talent Program – IT (Riyadh),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,52.0,51.00747222558494,-0.9925277744150591,0.9925277744150591,32,99
ce-network-dhahran,98,Saudi Motorsport Company (SMC),COOP Trainee (Supply Chain Excellence Associate),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,51.5,60.766982864009314,9.266982864009314,9.266982864009314,33,24
ce-network-dhahran,116,Lucidya,Technical Internship or Coop – Lucidya,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,51.5,67.58077180760681,16.08077180760681,16.08077180760681,34,4
ce-network-dhahran,122,moneymoon,Tech & AI Co-op Program 2025,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,51.5,68.59547231026379,17.095472310263787,17.095472310263787,35,2
ce-network-dhahran,141,Saudi Payments | المدفوعات السعودية,COOP Training – August 2024,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,51.5,66.01023478327991,14.510234783279913,14.510234783279913,36,6
ce-network-dhahran,145,HungerStation | هنقرستيشن,"Co-OP Trainee, Data Analysis – Info Sec",Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,51.5,68.63484786603343,17.134847866033425,17.134847866033425,37,1
ce-network-dhahran,146,NCGR | المركز الوطني لنظم الموارد الحكومية,Coop Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,51.5,61.58177421099042,10.081774210990417,10.081774210990417,38,19
ce-network-dhahran,43,National Cybersecurity Authority (NCA) – Academy,Cybersecurity training programs (academy),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,51.0,50.76241231085822,-0.2375876891417832,0.2375876891417832,39,102
ce-network-dhahran,1,Saudi Aramco,University Internship Program (UIP),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,50.0,49.85043124294122,-0.14956875705878048,0.14956875705878048,40,105
ce-network-dhahran,157,Nahdi Medical Co.,IT Internship / COOP Program (6 months),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,49.5,53.119835545301,3.619835545301001,3.619835545301001,41,83
ce-network-dhahran,12,Tamara,Tamara Builders Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,49.0,56.32902551900603,7.329025519006031,7.329025519006031,42,47
ce-network-dhahran,37,KAPSARC,Intern (Coop- Trainee),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,49.0,61.54301326006088,12.543013260060881,12.543013260060881,43,20
ce-network-dhahran,86,Wakeb_Data,COOP Training,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,49.0,56.94711933707773,7.94711933707773,7.94711933707773,44,43
ce-network-dhahran,93,HUED,HUED COOP Program 2026,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,49.0,58.16318599069478,9.163185990694778,9.163185990694778,45,36
ce-network-dhahran,94,Araamis • أرامس,Araamis COOP Program 2026,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,49.0,56.94711933707773,7.94711933707773,7.94711933707773,46,44
ce-network-dhahran,108,Gathern,Co-op Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,49.0,63.94808110477679,14.94808110477679,14.94808110477679,47,11
ce-network-dhahran,137,1957 Ventures,Internship / Co-Op Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,49.0,56.98167636282229,7.9816763628222915,7.9816763628222915,48,40
ce-network-dhahran,143,Lean Technologies,Software Engineering Intern – KSA,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,49.0,53.9489029727493,4.948902972749302,4.948902972749302,49,70
ce-network-dhahran,149,New Murabba | المربع الجديد,New Murabba Co-op Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,49.0,53.119835545301,4.119835545301001,4.119835545301001,50,82
ce-network-dhahran,3,stc (Saudi Telecom Company),Cooperative Training Program (COOP),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,47.0,56.94711933707773,9.94711933707773,9.94711933707773,51,41
ce-network-dhahran,17,Boston Consulting Group (BCG),Visiting Associate Internship (Riyadh),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,47.0,56.94711933707773,9.94711933707773,9.94711933707773,52,42
ce-network-dhahran,38,BSF (Banque Saudi Fransi),COOP / Internship,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,47.0,55.30338808740192,8.30338808740192,8.30338808740192,53,56
ce-network-dhahran,41,Bank Albilad,Cooperative and Summer Training Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,47.0,61.58177421099042,14.581774210990417,14.581774210990417,54,12
ce-network-dhahran,68,Banque Saudi Fransi (BSF),COOP Training,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,47.0,55.61147029143768,8.611470291437683,8.611470291437683,55,54
ce-network-dhahran,69,Arab National Bank (ANB),COOP Trainee,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,47.0,58.80850315410826,11.808503154108259,11.808503154108259,56,32
ce-network-dhahran,70,Tamara,Builders Program,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,47.0,58.80850315410826,11.808503154108259,11.808503154108259,57,33
