profile_id,opportunity_id,company_name,program_name,chat_message,major,city,skills,interest,program_type,work_mode,target_score,predicted_score,score_difference,absolute_difference,rank_by_rubric,rank_by_ml
no-interview-ft,98,Saudi Motorsport Company (SMC),COOP Trainee (Supply Chain Excellence Associate),Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,29.5,55.20907680258691,25.709076802586907,25.709076802586907,168,43
eastern-province-cys,123,EjadTech - إيجاد التقنية,"Summer Internship Program 2025 (Computer, Data, and AI Majors)",Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,31.0,53.15226226512125,22.15226226512125,22.15226226512125,165,86
ce-network-dhahran,61,KAUST,Visiting Student Research Program (VSRP) Internship,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,30.0,50.9224482075849,20.9224482075849,20.9224482075849,166,100
cs-iau-backend,31,Ministry of Industry and Mineral Resources (MIM) – Cooperative Training Initiative,Cooperative Training Initiative,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,10.5,31.15589763124169,20.65589763124169,20.65589763124169,173,172
no-interview-ft,167,TAM | تام,"Tamheer Opportunity, Advisory",Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,41.0,21.15938719381349,-19.84061280618651,19.84061280618651,99,171
cs-iau-backend,29,Human Resources Development Fund (HRDF) – Cooperative Training Product,Cooperative Training (HRDF product),CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,10.5,29.939555235455305,19.439555235455305,19.439555235455305,172,173
eastern-province-cys,56,HRDF | Cooperative Training Product,Cooperative Training Product,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,55.5,36.35214915003289,-19.147850849967107,19.147850849967107,87,166
eastern-province-cys,52,Ministry of Industry and Mineral Resources | Cooperative Training,Cooperative Training Initiative,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,55.5,36.35214915003289,-19.147850849967107,19.147850849967107,86,165
qual-ielts-intern,167,TAM | تام,"Tamheer Opportunity, Advisory",Business-oriented CIS student with IELTS 6.5 seeking internship in Jeddah.,CIS,Jeddah,excel; sql,,Internship,On-site,40.5,21.456310202378965,-19.043689797621035,19.043689797621035,168,171
no-interview-ft,116,Lucidya,Technical Internship or Coop – Lucidya,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,43.5,62.52620458397667,19.02620458397667,19.02620458397667,90,23
eastern-province-cys,98,Saudi Motorsport Company (SMC),COOP Trainee (Supply Chain Excellence Associate),Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,77.0,58.117617358461565,-18.882382641538435,18.882382641538435,20,69
ce-network-dhahran,79,Tabby,Intern Data Engineer,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,39.0,57.8438751353671,18.8438751353671,18.8438751353671,132,37
ce-network-dhahran,24,MOZN,Data Science Intern,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,34.5,53.24586265664952,18.74586265664952,18.74586265664952,146,77
ds-scientist-jeddah,133,Help AG (e& enterprise),Cybersecurity Intern,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,28.5,47.08539620790671,18.58539620790671,18.58539620790671,167,111
ds-remote-coop,155,Laverne Group | مجموعة لافيرن,Data Analyst / Data Engineer Intern (IT Department),DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,41.83,60.39005993747662,18.560059937476623,18.560059937476623,75,8
ce-network-dhahran,162,SAS,CareerStart@SAS 2026 - Presales Customer Intelligence Intern (Riyadh),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,33.0,51.49419075762892,18.49419075762892,18.49419075762892,156,91
eastern-province-cys,144,Mirai (Scopely) | مِراي,AI Engineering Intern (GenAI),Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,34.5,52.91249149205754,18.41249149205754,18.41249149205754,159,88
eastern-province-cys,50,SAB (Saudi Awwal Bank) | Cooperative Training Programme (COOP),SAB Cooperative Training Programme (COOP),Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,40.0,58.22438136912573,18.22438136912573,18.22438136912573,152,64
ce-network-dhahran,169,Snbla | سنبله,Paid Internship Program (FinTech),Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,33.0,51.16846110212997,18.168461102129967,18.168461102129967,158,96
