profile_id,chat_message,rubric_top5_ids,ml_top5_ids,overlap_count_at_5,overlap_ratio_at_5,rubric_top_company_names,ml_top_company_names
ce-network-dhahran,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,152;11;26;27;72,145;122;128;116;142,0,0.0,"Schneider Electric; Bank Albilad; Yasref; Saudi Standards, Metrology and Quality Organization (SASO); Tatweer Educational Technologies (TETCO)",HungerStation | هنقرستيشن; moneymoon; SCAI | سكاي; Lucidya; Saudi Tadawul Group | تداول
ds-remote-coop,DS student seeking remote COOP in machine learning and data analysis.,71;108;123;24;140,145;122;128;116;107,0,0.0,OmniOps; Gathern; EjadTech - إيجاد التقنية; MOZN; Bosch Middle East,HungerStation | هنقرستيشن; moneymoon; SCAI | سكاي; Lucidya; sirar by stc
eastern-province-cys,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,152;39;81;90;38,141;81;41;64;73,1,0.2,Schneider Electric; Saudi Food & Drug Authority (SFDA); Bank Albilad; NHC; BSF (Banque Saudi Fransi),Saudi Payments | المدفوعات السعودية; Bank Albilad; Bank Albilad; Al Rajhi Takaful; The Saudi Investment Bank (SAIB)
de-cloud-dammam,Data engineer student in Dammam targeting cloud and big data training with AWS.,79;155;76;77;11,140;145;76;155;150,2,0.4,Tabby; Laverne Group | مجموعة لافيرن; Tabby; Tabby; Bank Albilad,Bosch Middle East; HungerStation | هنقرستيشن; Tabby; Laverne Group | مجموعة لافيرن; Boeing Saudi Arabia Limited
ds-scientist-jeddah,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,116;145;71;108;97,145;128;122;142;116,2,0.4,Lucidya; HungerStation | هنقرستيشن; OmniOps; Gathern; Saudi Motorsport Company (SMC),HungerStation | هنقرستيشن; SCAI | سكاي; moneymoon; Saudi Tadawul Group | تداول; Lucidya
no-interview-ft,Fintech student seeking internship with no interview required in Riyadh.,124;22;24;77;79,140;124;169;79;155,2,0.4,InnovationTeam; BlackRock; MOZN; Tabby; Tabby,Bosch Middle East; InnovationTeam; Snbla | سنبله; Tabby; Laverne Group | مجموعة لافيرن
remote-only-de,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,156;161;77;4;5,79;140;124;156;77,2,0.4,Meel | ميل; AFNOYS; Tabby; Saudi National Bank (SNB); Al Rajhi Bank,Tabby; Bosch Middle East; InnovationTeam; Meel | ميل; Tabby
qual-ielts-intern,Business-oriented CIS student with IELTS 6.5 seeking internship in Jeddah.,97;22;77;79;98,79;76;155;150;77,2,0.4,Saudi Motorsport Company (SMC); BlackRock; Tabby; Tabby; Saudi Motorsport Company (SMC),Tabby; Tabby; Laverne Group | مجموعة لافيرن; Boeing Saudi Arabia Limited; Tabby
cs-iau-backend,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,79;143;77;140;144,124;140;79;143;123,3,0.6,Tabby; Lean Technologies; Tabby; Bosch Middle East; Mirai (Scopely) | مِراي,InnovationTeam; Bosch Middle East; Tabby; Lean Technologies; EjadTech - إيجاد التقنية
ds-gpa-ielts,Data science student with GPA 4.5 and IELTS looking for internship in Riyadh.,155;24;79;140;150,140;155;150;79;124,4,0.8,Laverne Group | مجموعة لافيرن; MOZN; Tabby; Bosch Middle East; Boeing Saudi Arabia Limited,Bosch Middle East; Laverne Group | مجموعة لافيرن; Boeing Saudi Arabia Limited; Tabby; InnovationTeam
